Year,SettlementPoint,HourlyVolatility
2016,HB_BUSAVG,0.4038823591576529
2016,HB_HOUSTON,0.397947126706192
2016,HB_HUBAVG,0.4200485393202211
2016,HB_NORTH,0.38911542007112754
2016,HB_SOUTH,0.40643814570593934
2016,HB_WEST,0.48561148702416207
2016,HB_BUSAVG,0.4802498642521435
2016,HB_HOUSTON,0.4631972956560281
2016,HB_HUBAVG,0.5000977536020023
2016,HB_NORTH,0.4654497861003071
2016,HB_SOUTH,0.4817236894704379
2016,HB_WEST,0.6314874400851148
2016,HB_BUSAVG,0.5212860513405098
2016,HB_HOUSTON,0.5076677803823008
2016,HB_HUBAVG,0.5407265135634851
2016,HB_NORTH,0.5138801592617436
2016,HB_SOUTH,0.5259032168458
2016,HB_WEST,0.6381954095351133
2016,HB_BUSAVG,0.48727292238070297
2016,HB_HOUSTON,0.4710245885367116
2016,HB_HUBAVG,0.49903274994094937
2016,HB_NORTH,0.4768681872625418
2016,HB_SOUTH,0.486830715526177
2016,HB_WEST,0.6028859985052291
2016,HB_BUSAVG,0.4241736885445445
2016,HB_HOUSTON,0.41512777507723914
2016,HB_HUBAVG,0.4316629543216874
2016,HB_NORTH,0.4143574718163466
2016,HB_SOUTH,0.4271784450544391
2016,HB_WEST,0.4799741656224401
2016,HB_BUSAVG,0.34904800332562547
2016,HB_HOUSTON,0.3538771534675902
2016,HB_HUBAVG,0.3661340768720139
2016,HB_NORTH,0.3479750400624213
2016,HB_SOUTH,0.3868132612017418
2016,HB_WEST,0.4120338036222874
2016,HB_BUSAVG,0.3826822157121376
2016,HB_HOUSTON,0.37460941685333027
2016,HB_HUBAVG,0.38693235879854526
2016,HB_NORTH,0.3793020693730378
2016,HB_SOUTH,0.5590374751277355
2016,HB_WEST,0.4133065816567815
2016,HB_BUSAVG,0.29754923831334396
2016,HB_HOUSTON,0.2957730441312688
2016,HB_HUBAVG,0.29899596578826076
2016,HB_NORTH,0.2920482262971717
2016,HB_SOUTH,0.5015656091708175
2016,HB_WEST,0.3132537901144444
2016,HB_BUSAVG,0.21988995973308426
2016,HB_HOUSTON,0.21979032674720447
2016,HB_HUBAVG,0.22442337596017853
2016,HB_NORTH,0.21616319722295624
2016,HB_SOUTH,0.4603390869512244
2016,HB_WEST,0.23209586817753217
2016,HB_BUSAVG,0.2073045082762064
2016,HB_HOUSTON,0.20856686982318792
2016,HB_HUBAVG,0.21062770652964338
2016,HB_NORTH,0.2047835707338153
2016,HB_SOUTH,0.4675996771923111
2016,HB_WEST,0.22143542305773894
2016,HB_BUSAVG,0.20222735326312505
2016,HB_HOUSTON,0.21547425698391834
2016,HB_HUBAVG,0.20657348025496303
2016,HB_NORTH,0.19925093530328603
2016,HB_SOUTH,0.24647121976903882
2016,HB_WEST,0.21916305215416526
2016,HB_BUSAVG,0.24256778961076772
2016,HB_HOUSTON,0.2656366051023069
2016,HB_HUBAVG,0.2469737901469333
2016,HB_NORTH,0.23737046766786243
2016,HB_SOUTH,0.2567758775247632
2016,HB_WEST,0.2589428990096699
2016,HB_BUSAVG,0.2858108192937115
2016,HB_HOUSTON,0.3327339454374056
2016,HB_HUBAVG,0.2947879230310601
2016,HB_NORTH,0.2745734610465555
2016,HB_SOUTH,0.29722938028662693
2016,HB_WEST,0.29732812891031984
2016,HB_BUSAVG,0.3657153826946117
2016,HB_HOUSTON,0.4299710231761239
2016,HB_HUBAVG,0.3800398528735568
2016,HB_NORTH,0.34839002054779217
2016,HB_SOUTH,0.38145745793543256
2016,HB_WEST,0.3753669209114754
2016,HB_BUSAVG,0.4617525207233803
2016,HB_HOUSTON,0.5295608318883825
2016,HB_HUBAVG,0.4738148135552153
2016,HB_NORTH,0.44398145057670296
2016,HB_SOUTH,0.4961126833033254
2016,HB_WEST,0.4671779487470048
2016,HB_BUSAVG,0.5671057255065285
2016,HB_HOUSTON,0.619437975162592
2016,HB_HUBAVG,0.5764693674837366
2016,HB_NORTH,0.5523614860953586
2016,HB_SOUTH,0.5874151108704849
2016,HB_WEST,0.5722137067885256
2016,HB_BUSAVG,0.5730952348439001
2016,HB_HOUSTON,0.613410831742318
2016,HB_HUBAVG,0.5819821867637129
2016,HB_NORTH,0.562013866411977
2016,HB_SOUTH,0.5848342695361766
2016,HB_WEST,0.5794580255939771
2016,HB_BUSAVG,0.3496351862241368
2016,HB_HOUSTON,0.37361788503988536
2016,HB_HUBAVG,0.3545255156612408
2016,HB_NORTH,0.3438763162747394
2016,HB_SOUTH,0.3572674463630042
2016,HB_WEST,0.3702899164991522
2016,HB_BUSAVG,0.24293625956162337
2016,HB_HOUSTON,0.24715210097408913
2016,HB_HUBAVG,0.2463282586461216
2016,HB_NORTH,0.24152975235153576
2016,HB_SOUTH,0.24208527132477148
2016,HB_WEST,0.2841861876650517
2016,HB_BUSAVG,0.23842211599957
2016,HB_HOUSTON,0.24099308426313418
2016,HB_HUBAVG,0.24475728711977332
2016,HB_NORTH,0.23492376756146502
2016,HB_SOUTH,0.23839598304470527
2016,HB_WEST,0.2942959452978237
2016,HB_BUSAVG,0.24045829789527284
2016,HB_HOUSTON,0.23643402411433484
2016,HB_HUBAVG,0.2425142891696342
2016,HB_NORTH,0.2378374951142135
2016,HB_SOUTH,0.23599297757274437
2016,HB_WEST,0.30383879589169194
2016,HB_BUSAVG,0.250774615511081
2016,HB_HOUSTON,0.2488180302891419
2016,HB_HUBAVG,0.2588437604412114
2016,HB_NORTH,0.2465558155436543
2016,HB_SOUTH,0.24824287607021983
2016,HB_WEST,0.35464291316957447
